count:
[0, 1, 4, 7, 5, 6, 3, 17, 8, 7, 2, 7, 1, 25, 2, 1, 25, 4, 33, 2, 4, 1, 17, 12, 8, 3, 1, 2, 2, 8, 12, 41, 13, 3, 1, 38, 44, 7, 6, 94, 13, 6, 79, 1, 4, 31, 9, 4, 99, 9, 42, 5, 20, 12, 19, 2, 18, 187, 2, 23, 4, 8, 8, 20, 41, 13, 3, 1, 35, 3, 57, 113, 1, 5, 55, 16, 39, 8, 69, 37, 53, 20, 12, 19, 2, 18, 180, 3, 4, 29, 8, 4, 2, 2, 61, 13, 3, 15, 21, 7, 53, 13, 39, 61, 1, 5, 37, 18, 16, 80, 70, 76, 12, 21, 18, 147, 19, 14, 7, 37, 4, 4, 14, 47, 16, 1, 14, 81, 13, 100, 24, 37, 16, 39, 8, 4, 208, 22, 1, 142, 40, 2, 27, 8, 8, 20, 41, 13, 3, 15, 71, 6, 4, 113, 1, 60, 16, 2, 204, 53, 22, 1, 142, 30, 3, 7, 2, 27, 8, 8, 36, 41, 1, 14, 175, 19, 61, 106, 60, 56, 20, 33, 133, 2, 30, 33, 7, 2, 27, 8, 82, 3, 15, 71, 6, 4, 113, 1, 60, 16, 2, 37, 41, 70, 88, 21, 18, 147, 36, 4, 29, 8, 100, 71, 6, 4, 113, 1, 60, 16, 38, 1, 41, 146, 33, 33, 50, 115, 3, 4, 29, 8, 85, 15, 81, 113, 1, 60, 16, 39, 220, 133, 2, 30, 33, 7, 2, 27, 8, 8, 20, 41, 13, 3, 15, 71, 10, 113, 61, 16, 56, 60, 34, 76, 33, 22, 10]
weight vectors:
0.00000,0.00000,0.00000,0.00000,0.00000
-0.50000,-2.32495,-3.81680,0.97135,0.18729
0.00000,-1.81910,-3.36570,-0.20395,0.40086
-0.50000,-3.81405,-2.01240,-1.40125,-0.03059
0.00000,-4.06046,-0.48215,-2.31905,-1.44759
0.50000,-6.20481,-4.41380,3.60030,-2.39649
1.00000,-5.92511,-4.56900,3.69183,-2.17323
0.50000,-7.50216,-1.98345,0.39228,-2.46050
1.00000,-6.63561,-0.00625,-1.97832,-3.71136
1.50000,-6.74258,-0.34768,-1.93005,-3.11311
2.00000,-7.10292,-3.72683,0.99035,-2.80126
2.50000,-7.40085,-2.48628,-0.44330,-3.25040
2.00000,-8.37945,0.07137,-4.74965,-2.53555
1.50000,-8.02665,-4.29068,-5.86040,-0.23730
2.00000,-9.90180,-11.01999,2.93620,-1.62585
1.50000,-10.36665,-9.12143,0.61475,-1.47800
2.00000,-11.49170,-7.46499,0.17291,-2.92670
2.50000,-11.48968,-7.15046,-0.14770,-2.54761
3.00000,-10.64973,-5.04706,-2.41760,-3.74416
3.50000,-9.45388,-2.76881,-4.91200,-5.19351
4.00000,-9.08174,-4.65496,-4.10545,-4.40581
4.50000,-8.89355,-5.06675,-3.71273,-4.03319
4.00000,-9.15330,-3.43510,-5.25748,-3.54074
3.50000,-9.17929,-6.96115,-4.23043,-1.96534
4.00000,-8.42544,-5.98135,-5.75963,-2.02656
4.50000,-7.32829,-3.70620,-8.24763,-3.38926
5.00000,-7.91164,-4.41805,-6.78558,-3.05866
5.50000,-9.71089,-11.24770,2.01702,-4.30501
6.00000,-9.85097,-9.71125,0.32417,-5.76276
5.50000,-9.52861,-7.40815,-3.84933,-4.40781
5.00000,-10.21051,-5.02020,-8.05843,-3.46601
5.50000,-11.68541,-9.15670,-2.92613,-2.88456
6.00000,-10.94061,-7.44230,-4.94158,-3.59751
5.50000,-10.86007,-4.21110,-9.12023,-2.83671
5.00000,-10.46662,-8.99425,-7.22688,0.91499
5.50000,-13.67897,-4.22870,-7.21546,-2.51086
6.00000,-13.00307,-3.69895,-8.38731,-2.31087
6.50000,-14.00137,-8.44900,-3.54631,-2.37532
7.00000,-13.87940,-7.71235,-4.25591,-2.66799
